ban_rate,event,hero,no_bans,no_picks,no_picks_bans,pick_ban_rate,pick_rate,win_rate,attribute
1.85%,The International 2013,Earthshaker,3,13,16,9.88%,8.02%,69.23%,Strength
3.09%,The International 2013,Mirana,5,10,15,9.26%,6.17%,60.00%,Agility
0.62%,The International 2013,Tidehunter,1,14,15,9.26%,8.64%,42.86%,Strength
4.94%,The International 2013,Templar Assassin,8,6,14,8.64%,3.70%,33.33%,Agility
1.85%,The International 2013,Morphling,3,9,12,7.41%,5.56%,55.56%,Agility
2.47%,The International 2013,Phantom Lancer,4,8,12,7.41%,4.94%,50.00%,Agility
1.85%,The International 2013,Venomancer,3,9,12,7.41%,5.56%,44.44%,Agility
1.23%,The International 2013,Lina,2,9,11,6.79%,5.56%,44.44%,Intelligence
3.09%,The International 2013,Viper,5,4,9,5.56%,2.47%,75.00%,Agility
1.85%,The International 2013,Skywrath Mage,3,4,7,4.32%,2.47%,25.00%,Intelligence
0.62%,The International 2013,Silencer,1,5,6,3.70%,3.09%,40.00%,Intelligence
0.62%,The International 2013,Pudge,1,4,5,3.09%,2.47%,75.00%,Strength
1.23%,The International 2013,Kunkka,2,3,5,3.09%,1.85%,33.33%,Strength
2.47%,The International 2013,Disruptor,4,1,5,3.09%,0.62%,0.00%,Intelligence
1.23%,The International 2013,Axe,2,2,4,2.47%,1.23%,50.00%,Strength
0.00%,The International 2013,Lion,0,4,4,2.47%,2.47%,0.00%,Intelligence
0.62%,The International 2013,Lich,1,3,4,2.47%,1.85%,33.33%,Intelligence
1.23%,The International 2013,Faceless Void,2,2,4,2.47%,1.23%,0.00%,Agility
0.00%,The International 2013,Luna,0,4,4,2.47%,2.47%,50.00%,Agility
1.23%,The International 2013,Ancient Apparition,2,2,4,2.47%,1.23%,100.00%,Intelligence
0.62%,The International 2013,Sven,1,2,3,1.85%,1.23%,50.00%,Strength
0.62%,The International 2013,Clinkz,1,2,3,1.85%,1.23%,50.00%,Agility
0.62%,The International 2013,Undying,1,2,3,1.85%,1.23%,50.00%,Strength
0.00%,The International 2013,Bloodseeker,0,2,2,1.23%,1.23%,0.00%,Agility
0.62%,The International 2013,Shadow Shaman,1,1,2,1.23%,0.62%,100.00%,Intelligence
0.00%,The International 2013,Slardar,0,2,2,1.23%,1.23%,50.00%,Strength
0.00%,The International 2013,Pugna,0,2,2,1.23%,1.23%,50.00%,Intelligence
0.00%,The International 2013,Dazzle,0,2,2,1.23%,1.23%,0.00%,Intelligence
0.00%,The International 2013,Omniknight,0,2,2,1.23%,1.23%,50.00%,Strength
0.62%,The International 2013,Spirit Breaker,1,1,2,1.23%,0.62%,0.00%,Strength
0.62%,The International 2013,Meepo,1,1,2,1.23%,0.62%,0.00%,Agility
0.00%,The International 2013,Slark,0,2,2,1.23%,1.23%,0.00%,Agility
0.00%,The International 2013,Tiny,0,1,1,0.62%,0.62%,0.00%,Strength
